اعتداء_على_الطفل_(علامات_جلدية)
حقنة_شرجية
خازوق
رجم
روليت_روسي
سلخ_فروة_الرأس
صدمة_كهربائية
صلب_(حكم)
عيسى_بن_زايد_آل_نهيان
فلقة_العقاب
قضية_إسلام_نبيه
لولب_الإبهام
لينغتشي
مخلعة
ميتشيل_جيسي_و_شركائه
تصنيف:تعذيب_حسب_البلد
تصنيف:أدوات_تعذيب
تصنيف:تشويه
تصنيف:حروب_قذرة
تصنيف:سيطرة_على_العقل
تصنيف:ضحايا_التعذيب
